AFI Rank,Movie Title,Year,Genre,Director,Actor,Actor,Actor,Actor,Picture
1,Citizen Kane,1941,Drama/Mystery,Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,/en/c/ce/Citizenkane.jpg
2,The Godfather,1972,Drama/Crime,Francis Ford-Coppola,Marlon Brando,Al Pacino,James Caan,Robert Duvall,/en/1/1c/Godfather_ver1.jpg
3,Casablanca,1942,Drama/Romance,Michael Curtiz,Humprey Bogart,Ingrid Bergman,Paul Henreird,Claude Rains,/commons/b/b3/CasablancaPoster-Gold.jpg
4,Raging Bull,1980,Drama/Sport,Martin Scorsese,Robert De-Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,/en/5/5f/Raging_Bull_poster.jpg
5,Singin' in the Rain,1952,Comedy/Musical,Stanely Donen,Gene Kelly,Donald O'Connor,Debbie Reynolds,Jean Hagen,/en/f/f9/Singing_in_the_rain_poster.jpg
6,Gone with the Wind,1939,Drama/Romance,Victor Fleming,Clark Gable,Vivien Leigh,Thomas Mitchell,Hattie McDaniel,/commons/2/27/Poster_-_Gone_With_the_Wind_01.jpg
7,Lawrence of Arabia,1962,Adventure/Drama,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,/commons/c/c5/Lawrence_of_arabia_ver3_xxlg.jpg
8,Schindler's List,1993,Drama,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Embeth Davidtz,/en/3/38/Schindler%27s_List_movie.jpg
9,Vertigo,1958,Thriller/Mystery,Alfred Hitchcock,James Stewart,Kim Novack,Barbara Bel Geddes,Tom Helmore,/commons/7/75/Vertigomovie_restoration.jpg
10,The Wizard of Oz,1939,Fantasy/Adventure,Victor Fleming,Judy Garland,Frank Morgan,Ray Bolger,Bert Hahr,/commons/c/ca/WIZARD_OF_OZ_ORIGINAL_POSTER_1939.jpg
11,City Lights,1931,Comedy,Charlie Chaplin,Charlie Chaplin,Viginia Cherrill,Florence Lee,Harry Myers,/en/f/f2/City_Lights_film.jpg
12,The Searchers,1956,Adventure/Western,John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Natalie Wood,/commons/5/59/SearchersPoster-BillGold.jpg
13,Star Wars,1977,Action/Adventure/Fantasy,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,James Earl-Jones,/en/8/87/StarWarsMoviePoster1977.jpg
14,Psycho,1960,Horror/Mystery/Thriller,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,/en/b/b9/Psycho_%281960%29.jpg
15,2001: A Space Odessy,1968,Sci-Fi/Mystery,Stanely Kubrick,Keir Dulea,George Lockwood,William Sylvester,Margaret Tyzack,/en/e/ef/2001_A_Space_Odyssey_Style_B.jpg
16,Sunset BLVD.,1950,Drama/Film-Noir,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Fred Clark,/en/0/0a/SunsetBoulevardfilmposter.jpg
17,The Graduate,1967,Comedy/Drama/Romance,Mike Nichols,Dustin Hoffman,Anne Bancroft,Katharine Ross,William Daniels,/en/8/8b/Graduateposter67.jpg
18,The General,1927,Action/Adventure/Comedy,Clyde Bruckman,Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,/en/5/59/The_General_poster.jpg
19,On the Waterfront,1954,Crime/Drama/Thriller,Eliza Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,/en/f/f4/On_the_Waterfront_poster.jpg
20,It's A Wonderful Life,1946,Drama/Family/Fantasy,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,/en/9/95/Its_A_Wonderful_Life_Movie_Poster.jpg
21,Chinatown,1974,Drama/Mystery/Thriller,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,/en/3/38/Chinatownposter1.jpg
22,Some Like It Hot,1959,Comedy/Crime,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemon,George Raft,/en/b/b4/Some_Like_It_Hot_poster.jpg
